,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,cause
Heart Disease,0.3283069361824639,0.3216502283553147,0.3164459528333956,0.3120044561853399,0.3071330034440656,0.2990947116903597,0.2945052970015277,0.2888979159323897,0.2826072325191379,0.2793209974839963,0.2756740693909505,0.27284907396449976,0.26986894156877755,0.2701217018490593,0.27105415206944866,0.2689141357581615,0.2681175208054155,0.26516014101457536,Heart Disease
Cancer,0.256094737746963,0.2574503988266917,0.2575333090373385,0.25651388916362905,0.256926751341348,0.26135640338571203,0.2600718369807046,0.26376990474579964,0.2660259867659817,0.2638569017211649,0.26907918391642843,0.2704671321383719,0.2693213664888603,0.27098815082287714,0.2679575920863804,0.2679516527548265,0.2610219990168085,0.2585710921805489,Cancer
Lower Respiratory Disease,0.056480336423247075,0.055434547532981125,0.055829200669334986,0.05611412725843897,0.0569200856985481,0.056183050991091735,0.059425267845553215,0.0572485602044319,0.05897131645936076,0.0641922172225685,0.06347773683125689,0.06333497541916762,0.06506402713933214,0.0650580307714071,0.06662180710507586,0.06485671657058002,0.06610364100633448,0.06512214509302892,Lower Respiratory Disease
Car Accidents,0.04388402203343038,0.04387320782423638,0.045366189506036415,0.04725390725451868,0.048474085737280896,0.050840026123297175,0.05270133008248454,0.05508559276198581,0.05617681253221148,0.05459728016815822,0.053719894370916316,0.05465072650831088,0.05670793128137576,0.05705868004138642,0.05745536443854255,0.059140017247977586,0.06170187637794974,0.06712051152114692,Car Accidents
Stroke,0.05972549631388953,0.05975948633230287,0.05807438659042625,0.056731843022868975,0.054846530330251074,0.052979354673500234,0.04981750284343369,0.049044264322249516,0.04853641198972184,0.047762667600879015,0.047241470784241416,0.047076490926787735,0.0459621686158003,0.045299729682428985,0.04455117070953419,0.04430331750211191,0.04302336934531639,0.04268348933986929,Stroke
Alzheimer's Disease,0.020255983306188,0.022516579159238083,0.02444062102741196,0.02646466971538319,0.028579844267164367,0.030381228808212073,0.0324959311439726,0.0332840573170289,0.03440439081012955,0.037505744040984015,0.03651126399044643,0.038297294594785515,0.038678009011547325,0.03792108467985821,0.03784947369643085,0.041242154198330584,0.04713904485459552,0.048907322386969515,Alzheimer's Disease
Diabetes,0.031109417149271443,0.031486772111755074,0.03239203750962725,0.0329309039510431,0.03342684749774922,0.03368486792352027,0.03409351878663218,0.0332918691815969,0.03290618266706865,0.03209974839963056,0.03175203970056355,0.031681706888595944,0.03360599810920459,0.033520829687235035,0.033746475904878684,0.033723499752214635,0.033910727403969346,0.033723697196937234,Diabetes
Pneumonia & Influenza,0.028985850011302345,0.02967483220927633,0.028154005140282136,0.02952852192396432,0.02934819471423533,0.027479203147323054,0.028593641782726262,0.02588300492101516,0.02430185805468967,0.02560773091044756,0.024813776517031632,0.02297865196678767,0.024500229635600848,0.022958404101645208,0.025441801193258385,0.02434954137662846,0.024329086906711497,0.021709487901753158,Pneumonia & Influenza
Kidney,0.017120435683750868,0.017887681534751263,0.018867821770270327,0.019384765888422733,0.020137897737329536,0.020610323492268483,0.02093883690173293,0.02183094481744821,0.022426101459577418,0.02297889377732685,0.023696759124465408,0.024363875212484988,0.02216518378358449,0.022290091287721817,0.02279800427043975,0.023211580482625924,0.023544153869046226,0.0235983317178748,Kidney
Suicide,0.013271726083944805,0.013321029588960434,0.013862786327012894,0.01420431555834492,0.014151880274246163,0.014905293836430944,0.014777231834475397,0.01525611197986193,0.01591742429899994,0.016364943378542537,0.01702423239137849,0.017570777110240837,0.017952997757354597,0.01837678877959914,0.01833377835685409,0.01885108716930354,0.018821764773347918,0.01890360283056978,Suicide
Homicide,0.00761782522892363,0.007537633646469989,0.007798015867432824,0.007841483524882167,0.007886176042328634,0.007905613469157285,0.00811819606938977,0.00841521622551842,0.00835585255419134,0.007998434891011088,0.0076485882693301315,0.007342600568583687,0.007287345826663128,0.007455269741751959,0.007083018170355004,0.006889050355982033,0.0074719997203063155,0.008046963296024034,Homicide
Overdose,0.005542469296057279,0.005796117687041449,0.006389271760081438,0.007890037602435616,0.008763068375533308,0.009648855355598316,0.010719268450094905,0.012651084907155991,0.013758621611629414,0.014156956772963653,0.014676970770839053,0.015155351410955371,0.016513735577222882,0.016472958721482217,0.017347433583588368,0.018531876132008757,0.020242830397757674,0.02457308296464231,Overdose
Terrorism,0.0,0.0,0.0013261437763146726,4.495747921615736e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3395356812119403e-06,0.0,2.1318116177764096e-06,0.0,Terrorism
