Table 2.4,,,,,,,,,,
"Principal causes of death and infant mortality rate: numbers and age-standardised death rates per 100,000 population, 2007 to 2016",,,,,,,,,,
,,,,,,,,,,
,,,,,,% change,,,,
,,2007,2011,2015,2016(p),2007-2016,2015-2016,,,
All Causes,Number," 28,117 "," 28,456 "," 30,127 "," 30,389 ",8.1,0.9,,,
,Rate," 1,151.6 "," 1,037.8 ",1008.9,983.8,-14.6,-2.5,,,
Diseases of the circulatory system,,,,,,,,,,
All Circulatory System Diseases:,Number," 9,956 "," 9,236 "," 9,371 "," 9,205 ",-7.5,-1.8,,,
,Rate, 436.1 , 358.7 ,330.0,312.2,-28.4,-5.4,,,
Ischaemic Heart Disease:,Number," 5,375 "," 4,707 "," 4,492 "," 4,405 ",-18.0,-1.9,,,
,Rate, 232.0 , 181.0 ,154.6,146.2,-37.0,-5.4,,,
Stroke:,Number," 2,078 "," 1,993 "," 1,920 "," 1,825 ",-12.2,-4.9,,,
,Rate, 93.0 , 78.4 ,68.7,63.0,-32.3,-8.3,,,
Cancer,,,,,,,,,,
All Malignant Neoplasms:,Number," 7,917 "," 8,666 "," 8,877 "," 9,023 ",14.0,1.6,,,
,Rate, 304.9 , 299.6 ,277.6,274.6,-9.9,-1.1,,,
"Cancer of the Trachea, Bronchus and Lung:",Number," 1,668 "," 1,850 "," 1,828 "," 1,864 ",11.8,2.0,,,
,Rate, 63.2 , 63.6 ,56.7,56.2,-11.1,-0.8,,,
Cancer of the Female Breast:,Number, 611 , 690 , 678 , 726 ,18.8,7.1,,,
,Rate, 40.3 , 41.8 ,37.3,39.0,-3.4,4.5,,,
Diseases of the Respiratory system*,,,,,,,,,,
All Respiratory System Diseases:,Number," 3,324 "," 3,438 "," 3,865 "," 3,856 ",16.0,-0.2,,,
,Rate, 152.3 , 138.0 ,138.9,132.7,-12.9,-4.5,,,
Chronic Lower Respiratory Disease,Number," 1,496 "," 1,504 "," 1,701 "," 1,711 ",14.4,0.6,,,
,Rate, 64.8 , 57.8 ,59.0,57.1,-12.0,-3.4,,,
Pneumonia,Number," 1,125 "," 1,057 "," 1,165 "," 1,049 ",-6.8,-10.0,,,
,Rate, 55.5 , 45.4 ,44.3,38.4,-30.8,-13.4,,,
External causes of injury and poisoning,,,,,,,,,,
All Deaths from External Causes:,Number," 1,759 "," 1,693 "," 1,316 "," 1,344 ",-23.6,2.1,,,
,Rate, 47.9 , 43.7 ,33.5,33.7,-29.6,0.5,,,
Transport Accidents:,Number, 305 , 189 , 124 , 140 ,-54.1,12.9,,,
,Rate, 7.6 , 4.4 ,2.9,3.3,-56.8,13.5,,,
Suicide:,Number, 458 , 554 , 425 , 399 ,-12.9,-6.1,,,
,Rate, 10.4 , 12.1 ,9.5,8.8,-15.4,-7.4,,,
Infant deaths,,,,,,,,,,
"Infant Mortality Rate (per 1,000 live births)",Number, 230 , 262 , 225 , 208 ,-9.6,-7.6,,,
,Rate, 3.2 , 3.5 ,3.1,3.3,3.1,6.5,,,
,,,,,,,,,,
"Sources: Central Statistics Office,  Public Health Information System (PHIS) - Department of Health.",,,,,,,,,,
,,,,,,,,,,
Notes:,,,,,,,,,,
(i) (p)  The figures for 2016 are provisional. They should be treated with caution as they refer to deaths registered in these years and may be incomplete.,,,,,,,,,,
"(ii) The rates provided in the table are age-standardised to the European standard population and are presented as  rates per 100,000 population except for",,,,,,,,,,
"infant mortality rates which are expressed as deaths per 1,000 live births.  ",,,,,,,,,,
"(iii) *Excludes cancer of the trachea, bronchus and lung. ",,,,,,,,,,
