,Words,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,heart disease,0.117436845,0.112359551,0.106897628,0.101436732,0.095212285,0.095837897,0.097512438,0.094473791,0.096009723,0.093507554,0.086252856,0.083348907,0.083454019
1,cancer,0.131484904,0.139914393,0.1471598,0.149558594,0.151761518,0.151515152,0.159800995,0.162535555,0.162041726,0.164352797,0.155940594,0.157353766,0.154779146
2,respiratory disease,0.105483672,0.097779561,0.093632959,0.095551324,0.099548329,0.097480832,0.093333333,0.090410402,0.089122949,0.090649245,0.097677075,0.094001121,0.094496741
3,accidents,0.133456562,0.134965222,0.13545568,0.129305868,0.123757904,0.121759766,0.129353234,0.115603413,0.112213895,0.107390772,0.099581112,0.098673145,0.09666908
4,alzheimer's,0.124460875,0.113563403,0.12406367,0.110784144,0.11598916,0.105695509,0.075820896,0.081064608,0.065019242,0.053695386,0.052741813,0.057559335,0.062273715
5,influenza and pneumonia,0.030807147,0.033306581,0.021535581,0.021983729,0.025835592,0.036692223,0.027064677,0.031491264,0.035851732,0.037362189,0.038842346,0.041113811,0.033852281
6,kidney disease,0.0969809,0.102059925,0.117509363,0.119439155,0.12195122,0.12468054,0.138507463,0.136326696,0.143609479,0.153940384,0.143183549,0.154924313,0.158761767
7,homicide,0.072828096,0.070492242,0.071004994,0.087588714,0.091598916,0.094194962,0.094527363,0.107070297,0.108770508,0.122498979,0.123381569,0.116053074,0.117487328
8,terrorism,0.115834874,0.092696629,0.0806804,0.066124286,0.059981933,0.054764513,0.054726368,0.048354328,0.039092566,0.041649653,0.039794364,0.056064287,0.054851557
9,shootings,0.013678373,0.014312467,0.016229713,0.027696036,0.017886179,0.015516612,0.013930348,0.015237708,0.034433867,0.021233156,0.019611577,0.032330406,0.034033309
10,overdose,0.057547751,0.088550027,0.085830212,0.090531418,0.096476965,0.101861993,0.115422886,0.117431938,0.113834312,0.113719886,0.142993145,0.108577836,0.109341057
